company,contact_name,contact_title,email,phone,whatsapp,website,linkedin,city,country,materials,evidence_url,supplier_country,port,source_tag,why_qualified,draft_hook,score,tier,region,dedup_key,enrichment_status
Gulf Marbles,,,,,,https://www.gulfmarbles.com/,,Dubai,UAE,marble granite natural stone importer exporter trading wholesale,https://www.gulfmarbles.com/,India,,web_research_2026-07-17,stone importer; imports from India; priority geography; distributor/volume signal,,75,1,Gulf,gulfmarbles.com,needs contact/email
Exotic Stone Imports,,,,,,https://exoticstoneimports.com/,,Atlanta,USA,granite marble slabs distributor imports quarry-direct wholesale,https://exoticstoneimports.com/granite/,India,,web_research_2026-07-17,stone importer; imports from India; priority geography; distributor/volume signal,,75,1,Americas,exoticstoneimports.com,needs contact/email
Sabta Granite,,,,,,https://www.sabtagranite.com/,,Dubai,UAE,marble granite onyx travertine quartz distributor,https://www.sabtagranite.com/,,,web_research_2026-07-17,stone importer; priority geography; distributor/volume signal,,50,2,Gulf,sabtagranite.com,needs contact/email
AGM Imports,,,,,,https://agmimports.com/,,Atlanta,USA,granite marble quartz quartzite slabs largest Southeast distributor,https://agmimports.com/,,,web_research_2026-07-17,stone importer; priority geography; distributor/volume signal,,50,2,Americas,agmimports.com,needs contact/email
Granite Global,,,,,,https://graniteglobalusa.com/,,Charlotte,USA,natural stone quartz distributor family owned,https://graniteglobalusa.com/,,,web_research_2026-07-17,stone importer; priority geography; distributor/volume signal,,50,2,Americas,graniteglobalusa.com,needs contact/email
JJ Granite,,,,,,https://www.jjgraniteinc.com/,,USA,USA,granite marble quartz quartzite 1000+ slabs importer wholesaler,https://www.jjgraniteinc.com/,,,web_research_2026-07-17,stone importer; priority geography; distributor/volume signal,,50,2,Americas,jjgraniteinc.com,needs contact/email
